profile,seconds,label,round_from,round_to,p,total_p,same_stat_p,is_extreme
Experienced Pokemon Player,15,Warm Up,1,3,0.8990195724206016,0.9097190982801324,0.8740540120816963,False
Experienced Pokemon Player,15,Trainer Check,4,6,0.8641950059353846,0.8848725746839565,0.8435174371868128,False
Experienced Pokemon Player,15,Gym Leader,7,9,0.8231897232998225,0.8609175540691572,0.8028747375009502,False
Experienced Pokemon Player,15,Elite Four,10,12,0.7051597739877377,0.631666730101682,0.7235330349592516,False
Experienced Pokemon Player,15,Champion,13,15,0.6589059357536579,0.590561835072544,0.666499724718226,False
Experienced Pokemon Player,15,Shiny Odds,16,,0.6003755636323356,0.5577363073750321,0.602619735014299,False
Experienced Pokemon Player,15,Prize Milestone Spike,tier thresholds,tier thresholds,0.528144581112293,,0.528144581112293,True
Pokemon Collector,15,Warm Up,1,3,0.7850306379817491,0.8148893739363557,0.7153602540876669,False
Pokemon Collector,15,Trainer Check,4,6,0.7415247355721497,0.7937683178920523,0.6892811532522473,False
Pokemon Collector,15,Gym Leader,7,9,0.701259518918405,0.7744404823827973,0.6618543847452707,False
Pokemon Collector,15,Elite Four,10,12,0.6086571496761458,0.5914776375887831,0.6129520276979865,False
Pokemon Collector,15,Champion,13,15,0.5804096523825468,0.561823855466647,0.5824747409287578,False
Pokemon Collector,15,Shiny Odds,16,,0.5497001215960624,0.5376927537010874,0.5503320883273769,False
Pokemon Collector,15,Prize Milestone Spike,tier thresholds,tier thresholds,0.5138314780902545,,0.5138314780902545,True
Novice,15,Warm Up,1,3,0.6599848555259851,0.6820772615338426,0.6084359081743176,False
Novice,15,Trainer Check,4,6,0.630299795376634,0.6687952552767352,0.5918043354765329,False
Novice,15,Gym Leader,7,9,0.6047952998615636,0.657110429704811,0.5766256145613534,False
Novice,15,Elite Four,10,12,0.5502017195921471,0.5473583596003603,0.5509125595900939,False
Novice,15,Champion,13,15,0.5357587714899332,0.5309034107182358,0.5362982560201218,False
Novice,15,Shiny Odds,16,,0.5211400974560361,0.5171545881289765,0.5213498611048287,False
Novice,15,Prize Milestone Spike,tier thresholds,tier thresholds,0.5044369655021728,,0.5044369655021728,True
