profile,seconds,streak,count,rate
Experienced Pokemon Player,15,0,2538510,0.1015404
Experienced Pokemon Player,15,1,2276009,0.09104036
Experienced Pokemon Player,15,2,2045661,0.08182644
Experienced Pokemon Player,15,3,2469307,0.09877228
Experienced Pokemon Player,15,4,2133839,0.08535356
Experienced Pokemon Player,15,5,1840948,0.07363792
Experienced Pokemon Player,15,6,2076046,0.08304184
Experienced Pokemon Player,15,7,1705191,0.06820764
Experienced Pokemon Player,15,8,1403663,0.05614652
Experienced Pokemon Player,15,9,1924547,0.07698188
Experienced Pokemon Player,15,10,1352171,0.05408684
Experienced Pokemon Player,15,11,953812,0.03815248
Experienced Pokemon Player,15,12,779361,0.03117444
Experienced Pokemon Player,15,13,512654,0.02050616
Experienced Pokemon Player,15,14,336336,0.01345344
Experienced Pokemon Player,15,15,260700,0.010428
Experienced Pokemon Player,15,16,156754,0.00627016
Experienced Pokemon Player,15,17,93585,0.0037434
Experienced Pokemon Player,15,18,56337,0.00225348
Experienced Pokemon Player,15,19,33909,0.00135636
Experienced Pokemon Player,15,20,20167,0.00080668
Experienced Pokemon Player,15,21,12014,0.00048056
Experienced Pokemon Player,15,22,7416,0.00029664
Experienced Pokemon Player,15,23,4467,0.00017868
Experienced Pokemon Player,15,24,2573,0.00010292
Experienced Pokemon Player,15,25,1576,6.304e-05
Experienced Pokemon Player,15,26,1006,4.024e-05
Experienced Pokemon Player,15,27,571,2.284e-05
Experienced Pokemon Player,15,28,371,1.484e-05
Experienced Pokemon Player,15,29,189,7.56e-06
Experienced Pokemon Player,15,30,110,4.4e-06
Experienced Pokemon Player,15,31,78,3.12e-06
Experienced Pokemon Player,15,32,43,1.72e-06
Experienced Pokemon Player,15,33,32,1.28e-06
Experienced Pokemon Player,15,34,20,8e-07
Experienced Pokemon Player,15,35,9,3.6e-07
Experienced Pokemon Player,15,36,7,2.8e-07
Experienced Pokemon Player,15,37,6,2.4e-07
Experienced Pokemon Player,15,38,2,8e-08
Experienced Pokemon Player,15,39,1,4e-08
Experienced Pokemon Player,15,40,0,0.0
Experienced Pokemon Player,15,41+,2,8e-08
Pokemon Collector,15,0,5385761,0.21543044
Pokemon Collector,15,1,4225444,0.16901776
Pokemon Collector,15,2,3316014,0.13264056
Pokemon Collector,15,3,3123560,0.1249424
Pokemon Collector,15,4,2314428,0.09257712
Pokemon Collector,15,5,1716661,0.06866644
Pokemon Collector,15,6,1473764,0.05895056
Pokemon Collector,15,7,1031604,0.04126416
Pokemon Collector,15,8,722402,0.02889608
Pokemon Collector,15,9,662267,0.02649068
Pokemon Collector,15,10,402488,0.01609952
Pokemon Collector,15,11,245038,0.00980152
Pokemon Collector,15,12,159828,0.00639312
Pokemon Collector,15,13,93228,0.00372912
Pokemon Collector,15,14,53490,0.0021396
Pokemon Collector,15,15,33404,0.00133616
Pokemon Collector,15,16,18080,0.0007232
Pokemon Collector,15,17,10259,0.00041036
Pokemon Collector,15,18,5562,0.00022248
Pokemon Collector,15,19,3037,0.00012148
Pokemon Collector,15,20,1662,6.648e-05
Pokemon Collector,15,21,908,3.632e-05
Pokemon Collector,15,22,503,2.012e-05
Pokemon Collector,15,23,276,1.104e-05
Pokemon Collector,15,24,157,6.28e-06
Pokemon Collector,15,25,88,3.52e-06
Pokemon Collector,15,26,38,1.52e-06
Pokemon Collector,15,27,24,9.6e-07
Pokemon Collector,15,28,12,4.8e-07
Pokemon Collector,15,29,3,1.2e-07
Pokemon Collector,15,30,3,1.2e-07
Pokemon Collector,15,31,3,1.2e-07
Pokemon Collector,15,32,2,8e-08
Pokemon Collector,15,33,0,0.0
Pokemon Collector,15,34,2,8e-08
Pokemon Collector,15,35,0,0.0
Pokemon Collector,15,36,0,0.0
Pokemon Collector,15,37,0,0.0
Pokemon Collector,15,38,0,0.0
Pokemon Collector,15,39,0,0.0
Pokemon Collector,15,40,0,0.0
Pokemon Collector,15,41+,0,0.0
Novice,15,0,8509367,0.34037468
Novice,15,1,5613227,0.22452908
Novice,15,2,3700934,0.14803736
Novice,15,3,2654584,0.10618336
Novice,15,4,1673407,0.06693628
Novice,15,5,1052089,0.04208356
Novice,15,6,710308,0.02841232
Novice,15,7,429397,0.01717588
Novice,15,8,260319,0.01041276
Novice,15,9,177734,0.00710936
Novice,15,10,98582,0.00394328
Novice,15,11,54050,0.002162
Novice,15,12,30798,0.00123192
Novice,15,13,16389,0.00065556
Novice,15,14,8683,0.00034732
Novice,15,15,4806,0.00019224
Novice,15,16,2524,0.00010096
Novice,15,17,1391,5.564e-05
Novice,15,18,663,2.652e-05
Novice,15,19,342,1.368e-05
Novice,15,20,203,8.12e-06
Novice,15,21,99,3.96e-06
Novice,15,22,43,1.72e-06
Novice,15,23,29,1.16e-06
Novice,15,24,13,5.2e-07
Novice,15,25,11,4.4e-07
Novice,15,26,5,2e-07
Novice,15,27,2,8e-08
Novice,15,28,1,4e-08
Novice,15,29,0,0.0
Novice,15,30,0,0.0
Novice,15,31,0,0.0
Novice,15,32,0,0.0
Novice,15,33,0,0.0
Novice,15,34,0,0.0
Novice,15,35,0,0.0
Novice,15,36,0,0.0
Novice,15,37,0,0.0
Novice,15,38,0,0.0
Novice,15,39,0,0.0
Novice,15,40,0,0.0
Novice,15,41+,0,0.0
