profile,seconds,mean_final_streak_exact,median,p90,p95,p99,first_tier_reach_rate,etb_reach_rate,bonus_cost_ev_per_entry,operator_margin
Experienced Pokemon Player,25,7.069242427683022,7,13,15,18,0.10920546158917771,9.794616308324144e-05,2.0183948615618346,0.2792642055375266
Pokemon Collector,25,3.671561042101969,3,9,10,13,0.014766373339269865,2.6788938901882806e-06,0.26689602341575125,0.34932415906336994
Novice,25,2.034352871012751,1,5,7,10,0.001991605773405176,1.3573373938208324e-07,0.03562644322976707,0.3585749422708093
Experienced Pokemon Player,20,7.069242427683022,7,13,15,18,0.10920546158917771,9.794616308324144e-05,2.0183948615618346,0.2792642055375266
Pokemon Collector,20,3.671561042101969,3,9,10,13,0.014766373339269865,2.6788938901882806e-06,0.26689602341575125,0.34932415906336994
Novice,20,2.034352871012751,1,5,7,10,0.001991605773405176,1.3573373938208324e-07,0.03562644322976707,0.3585749422708093
Experienced Pokemon Player,15,5.59904006682586,5,11,13,16,0.06011951423093079,3.4379059270065354e-05,1.103074572594012,0.3158770170962395
Pokemon Collector,15,3.1071158239792678,2,7,9,12,0.008852114257141813,1.2480471385355557e-06,0.1595313784406881,0.3536187448623725
Novice,15,1.85294920262066,1,5,6,9,0.0014143912814867281,8.49102462116875e-08,0.025269362648370153,0.3589892254940652
Experienced Pokemon Player,12,4.315112808997196,3,10,11,15,0.029724955423443722,1.0811223848713524e-05,0.5418401501340574,0.3383263939946377
Pokemon Collector,12,2.507691561876828,2,6,8,11,0.004388974242887633,4.513831241172182e-07,0.07882191147389205,0.35684712354104436
Novice,12,1.6014748668346526,1,4,6,9,0.0008143193576674186,4.050486391938804e-08,0.014522091192975607,0.35941911635228097
Experienced Pokemon Player,10,3.6008000949517975,3,9,10,14,0.017431623134221166,4.621256648120681e-06,0.31642139583961393,0.34734314416641543
Pokemon Collector,10,2.167935065527153,1,6,7,10,0.0026471968881206097,2.215387798769602e-07,0.04743724492047571,0.35810251020318096
Novice,10,1.464682162115385,1,4,5,8,0.0005721281967196284,2.5374987053336884e-08,0.010191940068641889,0.3595923223972543
Experienced Pokemon Player,8,3.0033891228871004,2,7,9,12,0.00974377724075711,1.8603763790367782e-06,0.17615050468680676,0.35295397981252774
Pokemon Collector,8,1.936583100810314,1,5,6,10,0.0017609468507458707,1.2660285709597015e-07,0.03150616426462189,0.3587397534294151
Novice,8,1.3761718097876652,1,4,5,8,0.00045023441481727936,1.8777325134333934e-08,0.008015817182328683,0.35967936731270683
